	Source	Target	inside
33623	136016292@N03	190829865@N08	True
33752	136016292@N03	146090270@N07	True
33772	136016292@N03	51176312@N07	True
34579	22841923@N02	61290640@N08	True
34995	42807077@N07	52559257@N02	True
35259	130828646@N02	10818592@N04	True
35366	52532323@N08	130345501@N04	True
35398	52532323@N08	123016824@N05	True
35456	52532323@N08	99186974@N00	True
35457	52532323@N08	53400673@N08	True
35545	153410564@N03	64148082@N02	True
36147	142083289@N03	53191561@N03	True
36156	142083289@N03	50879678@N03	True
36245	142083289@N03	123016824@N05	True
36249	142083289@N03	146838317@N05	True
36253	142083289@N03	157106216@N08	True
36395	142083289@N03	125601701@N03	True
36433	142083289@N03	57659712@N02	True
36576	142083289@N03	65181591@N06	True
36603	142083289@N03	99098557@N06	True
36748	142083289@N03	146090270@N07	True
37107	12189850@N08	10818592@N04	True
37144	12189850@N08	120723552@N04	True
37407	135924873@N02	14705489@N03	True
37760	135924873@N02	10818592@N04	True
38113	135924873@N02	194831868@N08	True
38423	57807042@N08	97904844@N08	True
38427	57807042@N08	130345501@N04	True
38696	21656645@N06	157106216@N08	True
38750	21656645@N06	65181591@N06	True
39433	12782943@N02	141443760@N06	True
40486	87494516@N07	30996501@N07	True
41047	50879678@N03	45459399@N08	True
41191	50879678@N03	142083289@N03	True
41271	50879678@N03	44884174@N08	True
41328	50879678@N03	144576996@N06	True
41375	50879678@N03	30996501@N07	True
41616	50879678@N03	7208148@N02	True
41967	27229011@N07	52559257@N02	True
42006	27229011@N07	141443760@N06	True
42403	27229011@N07	135498250@N03	True
42896	27964309@N06	123096458@N03	True
43037	27964309@N06	145895983@N08	True
43311	27964309@N06	53191561@N03	True
43351	27964309@N06	50879678@N03	True
43467	27964309@N06	135366503@N05	True
44172	57659712@N02	142083289@N03	True
44240	57659712@N02	125601701@N03	True
44924	188564493@N07	146090270@N07	True
44969	188564493@N07	136016292@N03	True
45000	188564493@N07	138486769@N02	True
45149	99186974@N00	141443760@N06	True
45272	99186974@N00	130046925@N04	True
45405	99186974@N00	35703376@N00	True
45491	99186974@N00	7141646@N02	True
45731	99186974@N00	138486769@N02	True
45740	99186974@N00	27964309@N06	True
46570	84747662@N03	52559257@N02	True
46581	84747662@N03	157106216@N08	True
46586	84747662@N03	37472264@N04	True
47174	135366503@N05	145895983@N08	True
47862	29370225@N03	22841923@N02	True
47895	29370225@N03	10818592@N04	True
48201	29370225@N03	146487476@N02	True
49027	30996501@N07	87494516@N07	True
49145	30996501@N07	53191561@N03	True
49366	66369582@N05	91099058@N02	True
49429	66369582@N05	69313726@N04	True
49431	66369582@N05	13817902@N00	True
49433	66369582@N05	40963583@N05	True
49490	66369582@N05	157106216@N08	True
49496	66369582@N05	81438595@N00	True
49587	66369582@N05	125601701@N03	True
49830	66369582@N05	7208148@N02	True
49957	66369582@N05	138486769@N02	True
50131	42152648@N06	146090270@N07	True
50335	29099490@N04	37472264@N04	True
50818	35703376@N00	99186974@N00	True
51156	46383895@N00	141443760@N06	True
51776	46383895@N00	65181591@N06	True
51938	99098557@N06	142083289@N03	True
51993	99098557@N06	29280961@N03	True
52051	99098557@N06	146090270@N07	True
52094	99098557@N06	53478627@N02	True
53046	149818313@N06	61290640@N08	True
53378	151518259@N02	130345501@N04	True
53470	151518259@N02	53191561@N03	True
53506	151518259@N02	141443760@N06	True
53774	151518259@N02	10818592@N04	True
53813	151518259@N02	149589497@N03	True
54039	151518259@N02	43771232@N08	True
54106	151518259@N02	141429878@N03	True
54740	67681928@N00	10818592@N04	True
55104	67681928@N00	136016292@N03	True
55275	191377304@N06	125601701@N03	True
55521	191058979@N08	29370225@N03	True
55569	191058979@N08	138486769@N02	True
55598	7170162@N02	123096458@N03	True
55871	7170162@N02	33264177@N05	True
56151	192017820@N06	132523565@N08	True
56203	192017820@N06	123016824@N05	True
56394	192017820@N06	10818592@N04	True
57275	184501773@N05	95723449@N06	True
57332	145895983@N08	91128227@N04	True
57435	145895983@N08	135366503@N05	True
57455	145895983@N08	151518259@N02	True
57471	145895983@N08	112273443@N02	True
57486	145895983@N08	123016824@N05	True
57488	145895983@N08	98508400@N04	True
57838	145895983@N08	141429878@N03	True
57976	145895983@N08	27964309@N06	True
58114	74821492@N00	135366503@N05	True
58639	156107086@N08	100629421@N07	True
58787	156107086@N08	138486769@N02	True
59087	27457334@N02	98508400@N04	True
59819	156439445@N03	130345501@N04	True
60336	65225985@N07	42152648@N06	True
60485	65225985@N07	148125504@N04	True
60547	65225985@N07	100629421@N07	True
60802	65225985@N07	53400673@N08	True
60836	65225985@N07	136016292@N03	True
60892	65225985@N07	138486769@N02	True
61102	42928020@N03	125601701@N03	True
61413	38693925@N07	130345501@N04	True
61515	38693925@N07	141443760@N06	True
61616	38693925@N07	59878200@N02	True
61617	38693925@N07	64148082@N02	True
62141	38693925@N07	57807042@N08	True
62589	94472628@N08	60199917@N02	True
62673	38318138@N08	81438595@N00	True
62687	38318138@N08	37472264@N04	True
63184	148125504@N04	130345501@N04	True
63372	148125504@N04	47247560@N03	True
63414	148125504@N04	141443760@N06	True
63524	148125504@N04	123016824@N05	True
63532	148125504@N04	157106216@N08	True
64485	157106216@N08	84747662@N03	True
64629	157106216@N08	14705489@N03	True
64656	157106216@N08	66369582@N05	True
64791	157106216@N08	123016824@N05	True
64795	157106216@N08	146838317@N05	True
64817	157106216@N08	148125504@N04	True
64855	157106216@N08	142083289@N03	True
64956	157106216@N08	21656645@N06	True
65370	157106216@N08	189709126@N02	True
65413	157106216@N08	194831868@N08	True
65916	141443760@N06	131431296@N04	True
66273	141443760@N06	49445699@N00	True
66652	30187719@N04	53191561@N03	True
66674	30187719@N04	141443760@N06	True
66718	30187719@N04	123016824@N05	True
67171	146785041@N08	52559257@N02	True
67281	92527397@N02	13817902@N00	True
67366	92527397@N02	125601701@N03	True
67778	7208148@N02	22576765@N02	True
68054	7208148@N02	125601701@N03	True
68781	13817902@N00	92527397@N02	True
68928	13817902@N00	130046925@N04	True
69671	118547663@N05	146090270@N07	True
71367	7141646@N02	18785498@N00	True
71604	7141646@N02	57659712@N02	True
72608	132523565@N08	141443760@N06	True
73079	186806289@N06	112273443@N02	True
73119	186806289@N06	10818592@N04	True
73168	186806289@N06	47968802@N08	True
73429	88891484@N00	37472264@N04	True
73506	98508400@N04	10818592@N04	True
73558	145591924@N08	130828646@N02	True
73918	64202840@N06	33650137@N05	True
74334	47671367@N08	123016824@N05	True
74357	47671367@N08	69376724@N06	True
74595	135895861@N02	125601701@N03	True
74789	135895861@N02	31023949@N03	True
75107	98649929@N04	64148082@N02	True
75226	98649929@N04	57659712@N02	True
