	0	1	inside
155	64148082@N02	58615008@N04	False
156	64148082@N02	138091867@N03	False
157	64148082@N02	52735684@N07	False
158	64148082@N02	156017013@N05	False
159	64148082@N02	96039744@N08	False
160	64148082@N02	75150694@N04	False
161	64148082@N02	86934805@N00	False
162	64148082@N02	130429404@N08	False
163	64148082@N02	7451641@N05	False
164	64148082@N02	27877891@N06	False
165	64148082@N02	65831537@N04	False
166	64148082@N02	146235856@N06	False
167	64148082@N02	95284343@N07	False
168	64148082@N02	49805801@N04	False
169	64148082@N02	24923691@N07	False
170	64148082@N02	90462086@N07	False
171	64148082@N02	22621631@N02	False
172	64148082@N02	132917300@N02	False
173	64148082@N02	90852019@N08	False
174	64148082@N02	53612966@N07	False
175	64148082@N02	16618681@N00	False
176	64148082@N02	32681588@N03	False
177	64148082@N02	52602707@N08	False
178	64148082@N02	21809377@N08	False
179	64148082@N02	156813393@N04	False
180	64148082@N02	57449198@N00	False
181	64148082@N02	127589628@N08	False
182	64148082@N02	8372882@N07	False
183	64148082@N02	121720736@N06	False
184	64148082@N02	128099735@N08	False
185	64148082@N02	49010317@N07	False
186	64148082@N02	88380809@N07	True
187	64148082@N02	49818517@N04	False
188	64148082@N02	67040808@N03	False
189	64148082@N02	37287055@N02	False
190	64148082@N02	36240071@N07	False
191	64148082@N02	92907873@N04	False
192	64148082@N02	35721884@N05	False
193	64148082@N02	69707278@N04	False
194	64148082@N02	46994427@N02	False
195	64148082@N02	184775340@N03	False
196	64148082@N02	53951073@N03	False
197	64148082@N02	69643669@N04	False
198	64148082@N02	83050646@N06	False
199	64148082@N02	157296633@N06	False
200	64148082@N02	128278764@N08	False
201	64148082@N02	11994078@N04	False
202	64148082@N02	134150623@N06	False
203	64148082@N02	18225443@N06	False
204	64148082@N02	89546604@N04	False
205	64148082@N02	22816272@N05	False
206	64148082@N02	33132363@N06	False
207	64148082@N02	47638441@N05	False
208	64148082@N02	90687543@N04	False
209	64148082@N02	13739960@N02	False
210	64148082@N02	130096590@N03	False
211	64148082@N02	58337741@N06	False
212	64148082@N02	66041906@N05	False
213	64148082@N02	76117711@N04	False
214	64148082@N02	66412236@N04	False
215	64148082@N02	31328495@N04	False
216	64148082@N02	79280900@N07	False
217	64148082@N02	52333854@N06	False
218	64148082@N02	72647602@N04	True
219	64148082@N02	68159278@N06	False
220	64148082@N02	7648832@N02	False
221	64148082@N02	14279081@N08	False
222	64148082@N02	137493539@N08	False
223	64148082@N02	50309485@N08	False
224	64148082@N02	17719035@N00	False
225	64148082@N02	11202248@N04	False
226	64148082@N02	54487838@N02	False
227	64148082@N02	93477226@N04	False
228	64148082@N02	113416414@N04	False
229	64148082@N02	66047775@N02	False
230	64148082@N02	25804543@N05	False
231	64148082@N02	190488091@N03	False
232	64148082@N02	17680066@N04	False
233	64148082@N02	22488000@N05	False
234	64148082@N02	96099495@N05	True
235	64148082@N02	7393085@N08	False
236	64148082@N02	100109440@N05	False
237	64148082@N02	35895492@N05	False
238	64148082@N02	28663388@N04	False
239	186704588@N07	51168786@N04	False
240	186704588@N07	142877418@N03	False
241	186704588@N07	190490990@N06	False
242	186704588@N07	31765639@N04	False
243	186704588@N07	127803497@N06	False
244	186704588@N07	128575254@N04	False
245	186704588@N07	152874964@N06	False
246	186704588@N07	76790793@N07	False
247	186704588@N07	7169426@N03	False
248	186704588@N07	189894840@N04	False
249	186704588@N07	15924729@N00	False
250	186704588@N07	141738444@N06	False
251	186704588@N07	128721907@N02	False
252	186704588@N07	185279376@N03	False
253	186704588@N07	110372823@N05	False
254	186704588@N07	71561164@N00	False
255	186704588@N07	149170189@N03	False
256	186704588@N07	146231155@N07	False
257	186704588@N07	91253861@N02	False
258	186704588@N07	135659499@N04	False
259	186704588@N07	142147052@N06	False
260	186704588@N07	56430505@N03	False
261	186704588@N07	138752302@N05	False
262	186704588@N07	187505331@N03	False
263	186704588@N07	7465630@N02	False
264	186704588@N07	40681760@N07	False
265	186704588@N07	164771864@N04	False
266	186704588@N07	134123588@N05	False
267	186704588@N07	98949740@N06	False
268	186704588@N07	130895088@N06	False
269	186704588@N07	170136196@N06	False
270	186704588@N07	37486507@N06	False
271	186704588@N07	107528837@N03	False
272	186704588@N07	30793638@N04	False
273	186704588@N07	54086289@N03	False
274	186704588@N07	21109902@N00	False
275	186704588@N07	134360779@N04	False
276	186704588@N07	12192905@N00	False
277	186704588@N07	38886124@N06	False
278	186704588@N07	58651585@N06	False
279	186704588@N07	65615951@N06	False
280	186704588@N07	60477765@N05	False
281	186704588@N07	160547258@N08	False
282	186704588@N07	103195647@N08	False
283	186704588@N07	187796777@N07	False
284	186704588@N07	52797637@N06	False
285	186704588@N07	68100493@N04	False
286	186704588@N07	189877645@N06	False
287	186704588@N07	9229426@N05	False
288	186704588@N07	188729515@N03	False
289	186704588@N07	33506024@N02	False
290	186704588@N07	62794756@N02	False
291	186704588@N07	96535070@N02	False
292	186704588@N07	45165043@N04	False
293	186704588@N07	18186142@N05	False
294	186704588@N07	22121562@N00	False
295	186704588@N07	33361219@N00	False
296	186704588@N07	47992465@N07	False
297	186704588@N07	157563470@N07	False
298	186704588@N07	129104565@N06	False
299	186704588@N07	45359289@N05	False
300	186704588@N07	23608933@N00	False
301	186704588@N07	73806732@N04	False
302	186704588@N07	48778866@N04	False
303	186704588@N07	77741274@N07	False
304	186704588@N07	137217923@N04	False
305	186704588@N07	137339895@N06	False
306	186704588@N07	77947814@N02	False
307	186704588@N07	151284386@N06	False
308	186704588@N07	182787947@N05	False
309	186704588@N07	69129761@N06	False
310	186704588@N07	50933105@N06	False
311	186704588@N07	137743397@N08	False
312	186704588@N07	32791195@N08	False
313	186704588@N07	57761648@N02	False
314	186704588@N07	72904015@N05	False
315	186704588@N07	60922435@N05	False
316	186704588@N07	43608860@N07	False
317	186704588@N07	30151869@N02	False
318	186704588@N07	138707650@N07	False
319	186704588@N07	44177780@N06	False
320	186704588@N07	123457926@N07	False
321	186704588@N07	131477420@N06	False
322	186704588@N07	11061732@N07	False
323	186704588@N07	34648518@N00	False
324	186704588@N07	181714318@N05	False
325	186704588@N07	100328506@N03	False
326	186704588@N07	16054928@N07	False
327	186704588@N07	135883444@N06	False
328	186704588@N07	74247542@N04	False
329	186704588@N07	156090455@N08	False
330	186704588@N07	158583050@N04	False
331	186704588@N07	99727575@N02	False
332	186704588@N07	75317139@N05	False
333	186704588@N07	90132685@N02	False
334	186704588@N07	75612671@N03	False
335	186704588@N07	164656914@N07	False
336	186704588@N07	129337299@N04	False
337	186704588@N07	130052889@N02	False
338	186704588@N07	155432439@N03	False
339	186704588@N07	37472264@N04	True
340	186704588@N07	87717459@N04	False
341	186704588@N07	130820471@N05	False
342	186704588@N07	130593268@N04	False
343	186704588@N07	80489004@N03	False
344	186704588@N07	94085508@N00	False
345	186704588@N07	90973339@N07	False
346	186704588@N07	100981000@N05	False
347	186704588@N07	66956608@N06	False
348	186704588@N07	90897051@N02	False
349	186704588@N07	134352553@N04	False
350	186704588@N07	69019029@N04	False
351	186704588@N07	146434179@N08	False
352	186704588@N07	150675750@N07	False
353	186704588@N07	184973447@N03	False
354	186704588@N07	8868875@N03	False
355	186704588@N07	29650941@N05	False
356	186704588@N07	126542062@N08	False
357	186704588@N07	185676756@N02	False
358	186704588@N07	183892587@N07	False
359	186704588@N07	120499646@N08	False
360	186704588@N07	45275993@N07	False
361	186704588@N07	136895269@N08	False
362	186704588@N07	163527961@N07	False
363	186704588@N07	185479635@N04	False
364	186704588@N07	34586898@N03	False
365	186704588@N07	188495638@N07	False
366	186704588@N07	171174909@N03	False
367	186704588@N07	61700414@N05	False
368	186704588@N07	76740369@N04	False
369	186704588@N07	92773053@N03	False
370	186704588@N07	91324182@N00	False
371	186704588@N07	74315404@N08	False
372	186704588@N07	68019743@N04	False
373	186704588@N07	154481494@N05	False
374	186704588@N07	21808054@N07	False
375	186704588@N07	108584430@N03	False
376	186704588@N07	147953330@N04	False
377	186704588@N07	105132315@N06	False
378	186704588@N07	23489706@N05	False
379	186704588@N07	31054291@N00	False
380	186704588@N07	158512272@N07	False
381	186704588@N07	136005848@N08	False
382	186704588@N07	61446344@N03	False
383	186704588@N07	66031636@N00	False
384	186704588@N07	159690409@N03	False
385	186704588@N07	84882238@N00	False
386	186704588@N07	138016545@N06	False
387	186704588@N07	168884764@N05	False
388	186704588@N07	140206254@N04	False
389	186704588@N07	183246166@N07	False
390	186704588@N07	150519840@N04	False
391	186704588@N07	76663845@N04	False
392	186704588@N07	188184391@N07	False
393	186704588@N07	170104417@N06	False
394	186704588@N07	186518048@N05	False
395	186704588@N07	183358456@N04	False
396	186704588@N07	114394213@N02	False
397	186704588@N07	164291077@N06	False
398	186704588@N07	27076251@N05	False
399	186704588@N07	161061202@N05	False
400	186704588@N07	11693916@N06	False
401	186704588@N07	78602640@N03	False
402	186704588@N07	186233388@N07	False
403	186704588@N07	186289850@N08	False
404	186704588@N07	187130495@N08	False
405	186704588@N07	130446566@N03	False
406	186704588@N07	66926252@N07	False
407	186704588@N07	186515706@N07	False
408	186704588@N07	96039744@N08	False
409	186704588@N07	154831008@N08	False
410	186704588@N07	185847924@N06	False
411	186704588@N07	33892219@N06	False
412	186704588@N07	162720065@N03	False
413	186704588@N07	159469851@N07	False
414	186704588@N07	129423280@N06	False
415	186704588@N07	130405532@N06	False
416	186704588@N07	125495953@N03	False
417	186704588@N07	136431724@N07	False
418	186704588@N07	40116219@N08	False
419	186704588@N07	186537112@N03	False
420	186704588@N07	99506721@N05	False
421	186704588@N07	88402723@N03	False
422	186704588@N07	130033639@N08	False
423	186704588@N07	186988618@N06	False
424	186704588@N07	158540884@N07	False
425	186704588@N07	55396473@N07	False
426	186704588@N07	128784882@N04	False
427	186704588@N07	184033345@N08	False
428	186704588@N07	134385668@N03	False
429	186704588@N07	143859115@N06	False
430	186704588@N07	66094586@N06	False
431	186704588@N07	191458602@N04	False
432	186704588@N07	68776679@N05	False
433	186704588@N07	139302139@N07	False
434	186704588@N07	139967090@N07	False
435	186704588@N07	98089007@N00	False
436	186704588@N07	160080341@N07	False
437	186704588@N07	125951254@N07	False
438	186704588@N07	37796851@N06	False
439	186704588@N07	189751576@N03	False
440	186704588@N07	183396785@N04	False
441	186704588@N07	95546140@N04	False
442	186704588@N07	146323670@N08	False
443	186704588@N07	185414300@N08	False
444	186704588@N07	73974070@N00	False
445	186704588@N07	133561872@N07	False
446	186704588@N07	85361080@N02	False
447	186704588@N07	136356589@N02	False
448	186704588@N07	12273714@N06	False
449	186704588@N07	98336874@N04	False
450	186704588@N07	93440264@N04	False
451	186704588@N07	125567240@N02	False
452	186704588@N07	148997631@N04	False
453	186704588@N07	182238502@N03	False
454	186704588@N07	60139144@N00	False
455	186704588@N07	52570859@N02	False
456	186704588@N07	139876175@N02	False
457	186704588@N07	79604666@N00	False
458	186704588@N07	132044880@N03	False
459	186704588@N07	48871402@N08	False
460	186704588@N07	130521741@N07	False
461	186704588@N07	124295012@N08	False
462	186704588@N07	186114192@N04	False
463	186704588@N07	13680894@N02	False
464	186704588@N07	87303919@N08	False
465	186704588@N07	188128246@N07	False
466	186704588@N07	188348953@N05	False
467	186704588@N07	39931335@N06	False
468	186704588@N07	162300056@N03	False
469	186704588@N07	41474913@N05	False
470	186704588@N07	130129479@N06	False
471	186704588@N07	114321947@N03	False
472	186704588@N07	138115336@N06	False
473	186704588@N07	55542027@N05	False
474	186704588@N07	73615507@N05	False
475	186704588@N07	155435131@N04	False
476	186704588@N07	189739331@N03	False
477	186704588@N07	163351739@N03	False
478	186704588@N07	27728746@N04	False
479	186704588@N07	163030921@N04	False
480	186704588@N07	32062136@N06	False
481	186704588@N07	147630395@N03	False
482	186704588@N07	96693492@N05	False
483	186704588@N07	186993090@N06	False
484	186704588@N07	50331573@N00	False
485	186704588@N07	183465064@N02	False
486	186704588@N07	90538523@N04	False
487	186704588@N07	7895019@N04	False
488	186704588@N07	94967165@N06	False
489	186704588@N07	84967551@N08	False
490	186704588@N07	134515728@N02	False
491	186704588@N07	98635224@N07	False
492	186704588@N07	78978441@N06	False
493	186704588@N07	139584385@N02	False
494	186704588@N07	143991302@N07	False
495	186704588@N07	144135793@N04	False
496	186704588@N07	189608380@N06	False
497	186704588@N07	96885276@N05	False
498	186704588@N07	7466915@N03	False
499	186704588@N07	148402203@N02	False
500	186704588@N07	141825274@N07	False
501	186704588@N07	68020561@N03	False
502	186704588@N07	58306981@N03	False
503	186704588@N07	134746510@N06	False
504	186704588@N07	186236561@N02	False
505	186704588@N07	88481658@N08	False
506	186704588@N07	128676800@N04	False
507	186704588@N07	74298323@N07	False
508	186704588@N07	181684698@N07	False
509	186704588@N07	133648008@N02	False
510	186704588@N07	186353600@N04	False
511	186704588@N07	182494667@N07	False
512	186704588@N07	65650827@N05	False
513	186704588@N07	109672004@N05	False
514	186704588@N07	63102190@N07	False
515	186704588@N07	188296106@N02	False
516	186704588@N07	52469261@N03	False
517	186704588@N07	74249224@N04	False
518	186704588@N07	155333565@N07	False
519	186704588@N07	126029246@N02	False
520	186704588@N07	114793564@N05	False
521	186704588@N07	127434137@N02	False
522	186704588@N07	87811137@N00	False
523	186704588@N07	128179293@N02	False
524	186704588@N07	28254340@N08	False
525	186704588@N07	96211389@N03	False
526	186704588@N07	127542389@N05	False
527	186704588@N07	64116329@N04	False
528	186704588@N07	183718368@N06	False
529	186704588@N07	187192336@N07	False
530	186704588@N07	125914022@N05	False
531	186704588@N07	187582573@N06	False
532	186704588@N07	27297062@N02	False
533	186704588@N07	137463898@N05	False
534	186704588@N07	75993928@N05	False
535	186704588@N07	184289223@N07	False
536	186704588@N07	33912392@N05	False
537	186704588@N07	138158005@N04	False
538	186704588@N07	142701866@N02	False
539	186704588@N07	90147004@N05	False
540	186704588@N07	142519917@N07	False
541	186704588@N07	139177953@N04	False
542	186704588@N07	186817610@N08	False
543	186704588@N07	69607325@N03	False
544	186704588@N07	60663006@N04	False
545	186704588@N07	53869350@N03	False
546	186704588@N07	150278344@N07	False
547	186704588@N07	12816226@N04	False
548	186704588@N07	159662955@N07	False
549	186704588@N07	188816795@N02	False
550	186704588@N07	128010317@N07	False
551	186704588@N07	44591020@N00	False
552	186704588@N07	62425933@N04	False
553	186704588@N07	22870548@N05	False
554	186704588@N07	88356194@N02	False
555	186704588@N07	103713015@N06	False
556	186704588@N07	116895768@N03	False
557	186704588@N07	91492606@N07	False
558	186704588@N07	158094573@N04	False
559	186704588@N07	27678706@N07	False
560	186704588@N07	61486510@N05	False
561	186704588@N07	135271786@N02	False
562	186704588@N07	186490047@N04	False
563	186704588@N07	78814955@N00	False
564	186704588@N07	156232237@N06	False
565	186704588@N07	89925786@N07	False
566	186704588@N07	96444540@N06	False
567	186704588@N07	123544864@N06	False
568	61033692@N00	25454549@N03	False
569	61033692@N00	27784269@N06	False
570	61033692@N00	26486700@N08	False
571	61033692@N00	77334245@N00	False
572	61033692@N00	152873790@N02	False
573	61033692@N00	127826134@N04	False
574	61033692@N00	34683336@N03	False
575	61033692@N00	26053156@N06	False
576	61033692@N00	30742298@N00	False
577	61033692@N00	48286994@N05	False
578	61033692@N00	51569390@N05	False
579	61033692@N00	92179622@N02	False
580	61033692@N00	28469961@N05	False
581	61033692@N00	66623891@N02	False
582	61033692@N00	23975939@N02	False
583	61033692@N00	11451449@N08	False
584	61033692@N00	53421901@N07	False
585	61033692@N00	8099187@N06	False
586	61033692@N00	71460765@N06	False
587	61033692@N00	39789947@N03	False
588	61033692@N00	26136730@N06	False
589	61033692@N00	113019462@N04	False
590	61033692@N00	59073038@N00	False
591	61033692@N00	81623952@N00	False
592	61033692@N00	130201290@N07	False
593	61033692@N00	66649794@N08	False
594	61033692@N00	37110466@N06	False
595	61033692@N00	131770259@N02	False
596	61033692@N00	14514653@N04	False
597	61033692@N00	190947401@N04	False
598	61033692@N00	37176070@N08	False
599	61033692@N00	44288006@N03	False
600	61033692@N00	9019841@N08	False
601	61033692@N00	10101918@N08	False
602	61033692@N00	24613755@N00	False
603	61033692@N00	132343377@N08	False
604	61033692@N00	95549570@N00	False
605	61033692@N00	15133720@N00	False
606	61033692@N00	28217693@N02	False
607	61033692@N00	145573925@N04	False
608	61033692@N00	59682423@N00	False
609	61033692@N00	22259533@N08	False
610	61033692@N00	50078806@N00	False
611	61033692@N00	46103964@N00	False
612	61033692@N00	145468477@N06	False
613	61033692@N00	24001995@N02	False
614	61033692@N00	133900150@N07	False
615	61033692@N00	9235816@N07	False
616	61033692@N00	8945641@N02	False
617	61033692@N00	116672744@N07	False
618	61033692@N00	87106931@N00	False
619	61033692@N00	32524554@N08	False
620	61033692@N00	10757690@N03	False
621	61033692@N00	76503227@N00	False
622	61033692@N00	64066887@N08	False
623	61033692@N00	41985403@N03	False
624	61033692@N00	13261390@N02	False
625	61033692@N00	65258568@N00	False
626	61033692@N00	138450832@N07	False
627	61033692@N00	22134962@N03	False
628	61033692@N00	95575860@N07	False
629	61033692@N00	9281238@N02	False
630	61033692@N00	9696487@N02	False
631	61033692@N00	35452346@N05	False
632	61033692@N00	11129650@N02	False
633	61033692@N00	33714681@N06	False
634	61033692@N00	32018476@N04	False
635	61033692@N00	14979580@N02	False
636	61033692@N00	7483647@N04	False
637	61033692@N00	98198942@N06	False
638	61033692@N00	85777755@N00	False
639	61033692@N00	34520709@N08	False
640	61033692@N00	72905779@N02	False
641	61033692@N00	126635079@N06	False
642	61033692@N00	89218664@N00	False
643	61033692@N00	41495112@N02	False
644	61033692@N00	53478627@N02	True
645	61033692@N00	37314427@N03	False
646	61033692@N00	14060501@N05	False
647	61033692@N00	7666486@N02	False
648	61033692@N00	67245152@N03	False
649	61033692@N00	27734591@N05	False
650	61033692@N00	82454540@N03	False
651	69376724@N06	131878582@N06	False
652	69376724@N06	131274840@N03	False
653	69376724@N06	26144115@N06	False
654	69376724@N06	31311164@N06	False
655	69376724@N06	118037655@N07	False
656	69376724@N06	83657898@N02	False
657	69376724@N06	29432562@N06	False
658	69376724@N06	78621811@N06	False
659	69376724@N06	16117478@N07	False
660	69376724@N06	75571860@N06	False
661	69376724@N06	64743966@N02	False
662	69376724@N06	146339652@N05	False
663	69376724@N06	84927600@N05	False
664	69376724@N06	12433660@N05	False
665	69376724@N06	128798768@N04	False
666	69376724@N06	46296826@N02	False
667	69376724@N06	32518926@N02	False
668	69376724@N06	119836694@N07	False
669	69376724@N06	49703021@N00	False
670	69376724@N06	36449002@N08	False
671	69376724@N06	37488145@N05	False
672	69376724@N06	91175117@N05	False
673	69376724@N06	139984563@N02	False
674	69376724@N06	123495891@N02	False
675	69376724@N06	100995769@N08	False
676	69376724@N06	24430923@N06	False
677	69376724@N06	90534814@N05	False
678	69376724@N06	13560308@N05	False
679	69376724@N06	147747514@N08	False
680	69376724@N06	89639718@N05	False
681	69376724@N06	87513640@N06	False
682	69376724@N06	40323303@N05	False
683	69376724@N06	127619094@N06	False
684	69376724@N06	83707859@N08	False
685	69376724@N06	90851363@N08	False
686	69376724@N06	129717605@N08	False
687	69376724@N06	103443189@N03	False
688	69376724@N06	144312453@N08	False
689	69376724@N06	97663619@N07	False
690	69376724@N06	11726202@N00	False
691	69376724@N06	31583394@N04	False
692	69376724@N06	24619518@N03	False
693	69376724@N06	18559043@N04	False
694	69376724@N06	123457926@N07	False
695	69376724@N06	156118811@N04	False
696	69376724@N06	23494756@N04	False
697	69376724@N06	82484300@N00	False
698	69376724@N06	107816958@N08	False
699	69376724@N06	87519817@N05	False
700	69376724@N06	17646527@N05	False
701	69376724@N06	55910595@N05	False
702	69376724@N06	61854481@N02	False
703	69376724@N06	112023308@N06	False
704	69376724@N06	61040898@N02	False
705	69376724@N06	86505016@N07	False
706	69376724@N06	138210302@N05	False
707	69376724@N06	83627299@N04	False
708	69376724@N06	34161192@N07	False
709	69376724@N06	33685248@N07	False
710	69376724@N06	76192691@N05	False
711	69376724@N06	101011549@N06	False
712	69376724@N06	45427242@N07	False
713	69376724@N06	62306055@N02	False
714	69376724@N06	52752495@N03	False
715	69376724@N06	22616731@N08	False
716	69376724@N06	132792598@N02	False
717	69376724@N06	64190528@N06	False
718	69376724@N06	22237169@N02	False
719	69376724@N06	63155507@N04	False
720	69376724@N06	107350006@N05	False
721	69376724@N06	108045963@N07	False
722	69376724@N06	48223070@N07	False
723	69376724@N06	54738005@N08	False
724	69376724@N06	123677900@N03	False
725	69376724@N06	94601377@N03	False
726	69376724@N06	77629993@N03	False
727	69376724@N06	95080380@N04	False
728	69376724@N06	13356703@N06	False
729	69376724@N06	162275034@N07	False
730	69376724@N06	130590537@N02	False
731	69376724@N06	68625545@N05	False
732	69376724@N06	101168604@N05	False
733	69376724@N06	79688583@N03	False
734	69376724@N06	76284475@N07	False
735	69376724@N06	33925380@N07	False
736	69376724@N06	22336840@N06	False
737	69376724@N06	28212928@N07	False
738	69376724@N06	90145176@N04	False
739	69376724@N06	117424383@N07	False
740	69376724@N06	37007752@N08	False
741	69376724@N06	57103158@N05	False
742	69376724@N06	124165794@N05	False
743	69376724@N06	132112807@N06	False
744	69376724@N06	89315977@N02	False
745	69376724@N06	87160756@N07	False
746	69376724@N06	56056607@N04	False
747	69376724@N06	162905917@N06	False
748	69376724@N06	124817400@N02	False
749	69376724@N06	135515021@N06	False
750	69376724@N06	25489781@N02	False
751	69376724@N06	30687931@N06	False
752	69376724@N06	40813209@N04	False
753	69376724@N06	159883248@N03	True
754	69376724@N06	58633485@N03	False
755	69376724@N06	186069698@N05	False
756	69376724@N06	135284887@N02	False
757	69376724@N06	45764540@N06	False
758	69376724@N06	69078600@N00	False
759	69376724@N06	164298625@N07	False
760	69376724@N06	67064434@N05	False
761	69376724@N06	59014838@N08	False
762	69376724@N06	22697782@N04	False
763	69376724@N06	147467460@N03	False
764	69376724@N06	31325362@N02	False
765	69376724@N06	191434473@N07	False
766	69376724@N06	50642939@N03	False
767	69376724@N06	141043935@N03	False
768	69376724@N06	76830283@N04	False
769	69376724@N06	141223247@N03	False
770	69376724@N06	138427124@N04	False
771	69376724@N06	132950841@N05	False
772	69376724@N06	129140315@N05	False
773	69376724@N06	125827458@N07	False
774	69376724@N06	100530149@N05	False
775	69376724@N06	55358539@N08	False
