	Source	Target	inside
19634	126334529@N05	36350804@N02	True
19750	126334529@N05	61190890@N06	True
19787	126334529@N05	38712633@N04	True
19799	126334529@N05	154547444@N06	True
19810	126334529@N05	58625702@N07	True
19866	126334529@N05	189387901@N05	True
19878	126334529@N05	11087887@N03	True
19888	126334529@N05	93388157@N07	True
19964	126334529@N05	69841044@N02	True
20092	23363966@N02	193874466@N08	True
20622	23363966@N02	8733637@N04	True
21041	8126893@N02	52122658@N00	True
21652	193874466@N08	23363966@N02	True
21679	14925782@N06	63181453@N04	True
21950	147135779@N02	117679407@N08	True
22226	147135779@N02	69663264@N03	True
22842	49914237@N02	69663264@N03	True
22970	163714109@N03	21729884@N02	True
23964	61028407@N05	142083289@N03	True
24860	75906263@N02	96667746@N04	True
24884	75906263@N02	21729884@N02	True
25049	75906263@N02	9764147@N02	True
25398	75906263@N02	14925782@N06	True
25480	75906263@N02	134632544@N06	True
25538	75906263@N02	62068535@N08	True
26711	8154764@N03	36350804@N02	True
26778	8154764@N03	7132768@N03	True
26839	8154764@N03	154547444@N06	True
26851	8154764@N03	42949625@N05	True
26903	8154764@N03	39906815@N05	True
26917	8154764@N03	11087887@N03	True
26923	8154764@N03	93388157@N07	True
27251	11087887@N03	36350804@N02	True
27256	11087887@N03	126334529@N05	True
27295	11087887@N03	165883554@N04	True
27346	11087887@N03	8154764@N03	True
27480	11087887@N03	61190890@N06	True
27570	11087887@N03	154547444@N06	True
27598	11087887@N03	58625702@N07	True
27599	11087887@N03	42949625@N05	True
27694	11087887@N03	131021490@N02	True
27708	11087887@N03	39906815@N05	True
27714	11087887@N03	150614452@N05	True
27715	11087887@N03	189387901@N05	True
27757	11087887@N03	93388157@N07	True
27840	11087887@N03	29280372@N08	True
27886	11087887@N03	69841044@N02	True
28798	69506664@N06	96667746@N04	True
29613	31623674@N00	8733637@N04	True
30696	105752074@N04	96667746@N04	True
31524	105752074@N04	14925782@N06	True
31541	105752074@N04	8866365@N08	True
32620	117679407@N08	147135779@N02	True
32881	23515414@N04	29780762@N07	True
33326	93388157@N07	124317748@N06	True
33349	93388157@N07	36350804@N02	True
33355	93388157@N07	192283700@N08	True
33357	93388157@N07	126334529@N05	True
33424	93388157@N07	165883554@N04	True
33544	93388157@N07	8154764@N03	True
33675	93388157@N07	7132768@N03	True
33807	93388157@N07	61190890@N06	True
33936	93388157@N07	38712633@N04	True
33993	93388157@N07	154547444@N06	True
34042	93388157@N07	58625702@N07	True
34043	93388157@N07	42949625@N05	True
34197	58625702@N07	61190890@N06	True
34233	58625702@N07	11087887@N03	True
35962	38712633@N04	36350804@N02	True
35965	38712633@N04	126334529@N05	True
36000	38712633@N04	165883554@N04	True
36186	38712633@N04	61190890@N06	True
36288	38712633@N04	154547444@N06	True
36316	38712633@N04	58625702@N07	True
36317	38712633@N04	42949625@N05	True
36450	38712633@N04	39906815@N05	True
36457	38712633@N04	189387901@N05	True
36482	38712633@N04	11087887@N03	True
36499	38712633@N04	93388157@N07	True
36642	38712633@N04	69841044@N02	True
36648	38712633@N04	137342563@N03	True
36679	151639852@N07	69506664@N06	True
36786	124317748@N06	10485938@N00	True
37106	154547444@N06	75906263@N02	True
37124	154547444@N06	36350804@N02	True
37135	154547444@N06	126334529@N05	True
37257	154547444@N06	165883554@N04	True
37382	154547444@N06	8154764@N03	True
37805	154547444@N06	61190890@N06	True
38067	64572825@N00	62068535@N08	True
38244	94163223@N00	96667746@N04	True
38279	94163223@N00	161392673@N02	True
38403	94163223@N00	61028407@N05	True
38410	94163223@N00	145400672@N02	True
38988	137342563@N03	38712633@N04	True
39042	137342563@N03	93388157@N07	True
39143	29785695@N00	29780762@N07	True
40240	191617821@N04	126334529@N05	True
40287	191617821@N04	9764147@N02	True
40462	191617821@N04	8866365@N08	True
40478	191617821@N04	145400672@N02	True
40577	191617821@N04	69841044@N02	True
40626	32528180@N00	34476863@N00	True
40973	145400672@N02	14925782@N06	True
40977	145400672@N02	8866365@N08	True
41002	145400672@N02	105105658@N03	True
41036	145400672@N02	45427632@N02	True
41268	46956042@N00	23286095@N05	True
41408	96667746@N04	75906263@N02	True
41973	96667746@N04	61028407@N05	True
42031	96667746@N04	105752074@N04	True
42179	96667746@N04	94163223@N00	True
42214	96667746@N04	138004730@N03	True
42304	96231201@N00	105105658@N03	True
42889	142083289@N03	154547444@N06	True
42961	142083289@N03	69506664@N06	True
43037	142083289@N03	61028407@N05	True
43182	142083289@N03	69663264@N03	True
43448	190590734@N02	130828646@N02	True
43477	190590734@N02	94163223@N00	True
43562	189387901@N05	36350804@N02	True
43566	189387901@N05	126334529@N05	True
43592	189387901@N05	165883554@N04	True
