		self	friend	interest	mutual
8733637@N04	8733637@N04	1	1	1	True
8733637@N04	150614452@N05	0	False	0.015218769816106531	False
8733637@N04	195032295@N04	0	False	0	False
8733637@N04	10299779@N03	0	False	0.004032258064516129	False
8733637@N04	72605979@N00	0	False	0	False
8733637@N04	188682146@N07	0	False	0.0026195153896529143	False
8733637@N04	71878757@N00	0	False	0.001277139208173691	False
8733637@N04	22824091@N08	0	False	0.0030864197530864196	False
8733637@N04	192204246@N07	0	False	0	False
8733637@N04	29280372@N08	0	True	0.029754959159859977	False
8733637@N04	133404195@N07	0	False	0.03181272509003601	False
8733637@N04	64749543@N02	0	False	0	False
8733637@N04	34476863@N00	0	False	0.0027609055770292656	False
8733637@N04	47568542@N03	0	False	0	False
8733637@N04	193496828@N05	0	False	0.004516129032258065	False
8733637@N04	138004730@N03	0	False	0.021	False
8733637@N04	149392270@N02	0	False	0.007495315427857589	False
8733637@N04	10024035@N00	0	False	0.010619469026548672	False
8733637@N04	64941417@N03	0	False	0.0006169031462060457	False
8733637@N04	140378231@N02	0	False	0.002702702702702703	False
8733637@N04	12399948@N00	0	False	0.004910988336402701	False
8733637@N04	132603569@N08	0	False	0.0019933554817275745	False
8733637@N04	10655856@N04	0	False	0.0026298487836949377	False
8733637@N04	7569767@N05	0	False	0.004421983575489577	False
8733637@N04	91244219@N06	0	False	0.014714898835070508	False
8733637@N04	51425650@N04	0	False	0.002482929857231533	False
8733637@N04	42949625@N05	0	False	0.03768844221105527	False
8733637@N04	194948209@N06	0	False	0	False
8733637@N04	192283700@N08	0	False	0	False
8733637@N04	57128711@N00	0	False	0.003970880211780278	False
8733637@N04	42152648@N06	0	False	0	False
8733637@N04	84538934@N00	0	False	0.006361323155216285	False
8733637@N04	7706348@N04	0	False	0	False
8733637@N04	104736837@N03	0	True	0.0395503746877602	False
8733637@N04	131021490@N02	0	False	0.05962685131756107	False
8733637@N04	66944894@N06	0	False	0	False
8733637@N04	140977171@N08	0	False	0.0033222591362126247	False
8733637@N04	15256764@N06	0	False	0.003757044458359424	False
8733637@N04	91032781@N04	0	False	0	False
8733637@N04	105105658@N03	0	True	0.015170670037926675	False
8733637@N04	62068535@N08	0	True	0.0188556566970091	False
8733637@N04	194361165@N03	0	False	0.004026845637583893	False
8733637@N04	126038549@N06	0	False	0.0006064281382656155	False
8733637@N04	15177829@N06	0	False	0.0013280212483399733	False
8733637@N04	87413031@N03	0	False	0.0059382422802850355	False
8733637@N04	163737578@N08	0	False	0.00199203187250996	False
8733637@N04	67342107@N00	0	False	0.01586333129957291	False
8733637@N04	41590863@N06	0	False	0.001955671447196871	False
8733637@N04	149009476@N07	0	False	0.0012539184952978057	False
8733637@N04	189688801@N07	0	False	0	False
8733637@N04	9764147@N02	0	False	0.015594541910331383	False
8733637@N04	8866365@N08	0	False	0.015060240963855422	False
8733637@N04	61190890@N06	0	False	0.006253908692933083	False
8733637@N04	36350804@N02	0	False	0.049214659685863874	False
8733637@N04	163364884@N04	0	False	0	False
8733637@N04	105693115@N07	0	False	0	False
8733637@N04	45427632@N02	0	False	0.0013449899125756557	False
