		self	friend	interest	mutual
193578629@N05	90469716@N00	0	False	0	False
193578629@N05	55453048@N03	0	False	0	False
193578629@N05	18015995@N07	0	False	0.0136986301369863	False
193578629@N05	124528896@N04	0	False	0	False
193578629@N05	104170763@N02	0	False	0.007017543859649123	False
193578629@N05	30199947@N07	0	False	0	False
193578629@N05	136999683@N06	0	False	0	False
193578629@N05	160461094@N05	0	False	0	False
193578629@N05	91651135@N07	0	False	0	False
193578629@N05	26380940@N03	0	False	0	False
193578629@N05	44910505@N07	0	False	0	False
193578629@N05	49603119@N00	0	False	0	False
193578629@N05	136933004@N08	0	False	0	False
193578629@N05	99911502@N03	0	False	0.002028397565922921	False
193578629@N05	7287512@N02	0	False	0	False
193578629@N05	8859561@N08	0	False	0	False
193578629@N05	64977817@N00	0	False	0	False
193578629@N05	32136054@N03	0	False	0.007352941176470588	False
193578629@N05	128337749@N02	0	False	0	False
193578629@N05	10512012@N08	0	False	0	False
193578629@N05	90028379@N00	0	False	0.0036363636363636364	False
193578629@N05	127423136@N05	0	False	0	False
193578629@N05	59747042@N04	0	False	0	False
193578629@N05	50741374@N08	0	False	0	False
193578629@N05	58300999@N04	0	False	0	False
193578629@N05	15752424@N05	0	False	0	False
193578629@N05	125170622@N08	0	False	0	False
193578629@N05	61335904@N04	0	False	0	False
193578629@N05	158874384@N02	0	False	0.022727272727272728	False
193578629@N05	134107008@N02	0	False	0.00510204081632653	False
193578629@N05	28571579@N03	0	False	0	False
193578629@N05	145984540@N08	0	False	0	False
193578629@N05	117466885@N06	0	False	0	False
193578629@N05	57551150@N00	0	False	0	False
193578629@N05	100853339@N07	0	False	0	False
193578629@N05	50658691@N04	0	False	0	False
193578629@N05	100824081@N06	0	False	0	False
193578629@N05	13325044@N05	0	False	0.05	False
193578629@N05	73199446@N00	0	False	0.003389830508474576	False
193578629@N05	90279016@N08	0	False	0	False
193578629@N05	132466470@N05	0	False	0	False
193578629@N05	98489626@N02	0	False	0	False
193578629@N05	95645163@N00	0	False	0.0136986301369863	False
193578629@N05	159825286@N03	0	False	0	False
193578629@N05	145351882@N07	0	False	0	False
193578629@N05	142785662@N04	0	False	0	False
193578629@N05	79721788@N00	0	False	0.04666666666666667	False
193578629@N05	91698536@N04	0	False	0.14285714285714285	True
193578629@N05	145667897@N08	0	False	0	False
193578629@N05	152311060@N02	0	False	0	False
193578629@N05	147141688@N03	0	False	0	False
193578629@N05	15047208@N00	0	False	0	False
63829447@N04	57210421@N04	0	False	0.02857142857142857	False
63829447@N04	193578629@N05	0	False	0	False
63829447@N04	63829447@N04	1	1	1	True
63829447@N04	193769199@N05	0	False	0	False
63829447@N04	149416284@N07	0	False	0	False
63829447@N04	193550492@N08	0	False	0	False
63829447@N04	37692771@N07	0	False	0	False
63829447@N04	8308954@N06	0	False	0.0136986301369863	False
63829447@N04	44934278@N04	0	False	0.006060606060606061	False
63829447@N04	25076731@N05	0	False	0.0160857908847185	False
63829447@N04	190996938@N05	0	False	0	False
63829447@N04	167072352@N02	0	False	0	False
63829447@N04	185536361@N03	0	False	0.007918552036199095	False
63829447@N04	188745550@N03	0	False	0	False
63829447@N04	186382833@N06	0	False	0	False
63829447@N04	117372933@N07	0	False	0.02040816326530612	False
63829447@N04	168107408@N03	0	False	0.022222222222222223	False
63829447@N04	40318098@N05	0	False	0.029411764705882353	False
63829447@N04	185446477@N05	0	False	0	False
63829447@N04	61233856@N00	0	False	0.008130081300813009	False
63829447@N04	7138083@N04	0	False	0	False
63829447@N04	30256305@N02	0	False	0	False
63829447@N04	97411860@N07	0	False	0	False
63829447@N04	99701047@N08	0	False	0	False
63829447@N04	151290294@N06	0	False	0	False
63829447@N04	102771077@N06	0	False	0	False
63829447@N04	47061356@N02	0	False	0	False
63829447@N04	120294361@N02	0	False	0.029411764705882353	False
63829447@N04	155494195@N08	0	False	0.05660377358490566	False
63829447@N04	153443196@N06	0	False	0	False
63829447@N04	36899213@N08	0	False	0	False
